country,Alcoholic.Beverages,Animal.fats,Animal.Products,Aquatic.Products..Other,Cereals...Excluding.Beer,Eggs,Fish..Seafood,Fruits...Excluding.Wine,Meat,Milk...Excluding.Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy.Roots,Stimulants,Sugar...Sweeteners,Sugar.Crops,Treenuts,Vegetable.Oils,Vegetables,Vegetal.Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit..all.except.Population.,Region
Afghanistan,0.0014,0.1973,9.4341,0,24.8097,0.2099,0.035,5.3495,1.202,7.5828,0.0728,0.2057,0.07,0.2953,0.0574,0.8802,0.3078,1.3489,0,0.077,0.5345,6.7642,40.5645,4.5,29.8,0.010601441,0.000302297,0.001319594,0.008979549,38042000,%,SouthernAsia
Albania,1.6719,0.1357,18.7684,0,5.7817,0.5815,0.2126,6.7861,1.8845,15.7213,0.1123,0.2324,0.9377,0.238,8.00E-04,1.8096,0.1055,1.5367,0,0.1515,0.3261,11.7753,31.2304,22.3,6.2,0.029951015,0.001084675,0.021938418,0.006927922,2858000,%,SouthernEurope
Algeria,0.2711,0.0282,9.6334,0,13.6816,0.5277,0.2416,6.3801,1.1305,7.6189,0.1671,0.087,0.3493,0.4783,0.0557,4.134,0.2216,1.8342,0,0.1152,1.031,11.6484,40.3651,26.6,3.9,0.012804681,0.001138092,0.005865549,0.005801041,43406000,%,NorthernAfrica
Angola,5.8087,0.056,4.9278,0,9.1085,0.0587,1.7707,6.0005,2.0571,0.8311,0.1165,0.155,0.4186,0.6507,9.00E-04,18.1102,0.0508,1.8495,0,0.0061,0.6463,2.3041,45.0722,6.8,25,0.000136825,6.36E-06,4.14E-05,8.91E-05,31427000,%,MiddleAfrica
Antigua and Barbuda,3.5764,0.0087,16.6613,0,5.996,0.2274,4.1489,10.7451,5.6888,6.3663,0.7139,0.2219,0.2172,0.184,0.1524,1.4522,0.1564,3.8749,0,0.0253,0.8102,5.4495,33.3233,19.1,NA,0.025773196,0.003092784,0.019587629,0.003092784,97000,%,Caribbean
Argentina,4.2672,0.2234,19.3454,0,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,0,0.3779,0.0116,0.0528,0.0122,3.042,0.4378,3.0536,0,0.02,0.9541,4.3503,30.6559,28.5,4.6,0.012852978,0.000667572,0.003845212,0.008340194,44939000,%,SouthAmerica
Armenia,0.4014,0.1833,13.564,0,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,0.2355,0.304,0.0899,0.1441,0.0055,2.0359,0.1863,2.6579,0,0.1108,0.4705,16.7019,36.4358,20.9,4.3,0.107191087,0.001485483,0.042775152,0.062930452,2962000,%,WesternAsia
Australia,5.5436,0.3143,21.4175,0.0033,5.4979,0.4428,1.4264,4.1883,6.7049,12.1018,0.5293,0.424,0.3694,0.0546,0.0458,2.7884,0.2928,2.5364,0,0.3176,1.2798,5.1406,28.5806,30.4,2.5,0.027421458,0.000383323,0.024267931,0.002770204,25305000,%,Oceania
Austria,7.0215,0.8555,19.5654,0.0011,6.2116,0.7884,0.7562,4.6069,4.681,12.3776,5.00E-04,0.1052,0.2683,0.0456,0.0494,3.0548,0.4106,2.6094,0,0.2367,0.8109,5.1098,30.4338,21.9,2.5,0.178359806,0.006928016,0.156899854,0.014531936,8877000,%,WesternEurope
Azerbaijan,3.5969,0.2544,11.6416,0,13.0898,0.5593,0.202,4.7988,2.1513,8.3212,0.0145,0.1534,0.0145,0.0347,0.0044,4.7041,0.0587,1.5523,0,0.1906,0.2235,10.0755,38.3584,19.9,2.5,0.024164422,0.000309289,0.016162826,0.007692308,10023000,%,WesternAsia
"Bahamas, The",2.0175,0.0062,11.4718,9.00E-04,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0,0.0495,0.511,7.7649,38.5229,32.1,NA,0.023650386,0.002827763,0.009511568,0.011311054,389000,%,Caribbean
Bangladesh,0.0031,0.0156,5.1926,0,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.082,0.7065,0.3195,5.3378,0.0529,0.9285,0.195,0.0934,0.7615,3.6405,44.8033,3.4,14.7,0.008413425,0.000130753,0.001474946,0.006807725,163667000,%,SouthernAsia
Barbados,3.565,0.2212,12.4976,0,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0,0.0852,0.8677,5.4725,37.5167,24.8,3.9,0.029268293,0.002439024,0.019860627,0.006968641,287000,%,Caribbean
Belarus,3.7563,0.3353,12.7089,0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.072,0.001,0.0067,9.1691,0.1142,4.0155,0,0.1399,0.8804,8.7859,37.2904,26.6,2.5,0.23293546,0.001330939,0.0639062,0.16769832,9467000,%,EasternEurope
Belgium,5.373,0.8559,17.7279,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0,0.1309,0.564,6.8161,32.2637,24.5,2.5,0.45903299,0.074890906,0.117044859,0.267097225,11458000,%,WesternEurope
Belize,3.3803,0.0832,8.6856,0,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.394,1.1259,0.0195,1.0614,0.0849,3.9798,0,0.034,1.0198,4.7721,41.3122,22.4,7.5,0.004411765,0.000490196,0.003921569,0,408000,%,CentralAmerica
Benin,5.9019,0.0132,3.7504,0,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0,0.4028,0.7381,4.1964,46.2493,8.2,10.1,0.002406576,1.69E-05,0.000525379,0.001864249,11801000,%,WesternAfrica
Bolivia,2.8956,0.0889,11.7799,0,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0,0.7084,0.3573,3.2224,38.2165,18.7,17.1,0.021246731,0.000993897,0.002249346,0.018003487,11470000,%,NA
Bosnia and Herzegovina,4.7876,0.0585,12.4319,0,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,0.486,0.1089,0.0963,0.2718,0.3922,4.0495,0.3504,1.6391,0,0.0822,0.4205,11.6394,37.5645,19.4,2.5,0.059833954,0.002920126,0.030317778,0.026596049,3493000,%,SouthernEurope
Botswana,4.2717,0.3402,14.4486,0,11.432,0.1402,0.3551,2.8465,2.284,11.0217,1.6092,0.3056,0.2019,0.2729,0.1626,4.7614,0.1336,4.7857,9.00E-04,0.015,1.0065,4.0558,35.5491,16.1,26.4,0.001007446,4.38E-05,0.000525624,0.00043802,2283000,%,SouthernAfrica
Brazil,4.3629,0.2803,17.347,0,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,6.00E-04,0.1512,0.7093,0.9254,0.0071,3.3959,0.3024,2.7755,1.0111,0.0513,1.2823,3.307,32.6537,22.3,2.5,0.074551908,0.005090478,0.029467544,0.039993885,209332000,%,SouthAmerica
Bulgaria,7.0834,0.2488,17.2483,0.0103,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,0.2254,0.3058,0.345,0.1512,0.6048,1.8576,0.2818,2.3627,0,0.0797,0.7085,6.2037,32.7435,27.4,3.6,0.027541219,0.001290323,0.006050179,0.020200717,6975000,%,EasternEurope
